threshold,count,mean,median,std,min,max,percent_positive,percent_negative,percent_zero
all,28424,1.5174290955620395,0.0,6.028215725031271,-26.868690056122507,295.44433193013805,32.789192231916694,9.857866591612721,57.35294117647059
pchembl_ge_3,13475,1.5083993226579013,0.0,3.7524687498161997,-8.358045409823728,77.55475934943706,36.68274582560297,3.3320964749536177,59.98515769944341
pchembl_ge_6,4276,1.6899554479679353,0.0,3.8318741383384984,-3.8932867056547575,67.79405069422626,44.50420954162769,4.60710944808232,50.88868101028999
