compound_inchikey,compound_firstblock,drugbank_inchikey,drugbank_id,compound_name,match_type,cpie_targets,n_cpie_targets,drugbank_targets,n_drugbank_targets,mean_ave_pchembl,median_ave_pchembl,n_cpie_associations,atc_codes,drugbank_targets_original,n_drugbank_targets_original
LTMHDMANZUZIPE-PUGKRICDSA-N,LTMHDMANZUZIPE,LTMHDMANZUZIPE-PUGKRICDSA-N,DB00390,Digoxin,full_inchikey,AR|ATAD5|ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|ATXN2|ESR1|ESRRA|FXYD2|GMNN|IDH1|IFNB1|NFE2L2|NR1I2|NR3C1|NSD2|PAX8|SYK|TNF|TP53,24,ATP1A1|ATP1A2|ATP1A3|ATP1B1|ATP1B2|ATP1B3,6,6.858295874318575,6.9784519671672385,24,C01AA05,ATP1A1|ATP1A2|ATP1A3|ATP1B1|ATP1B2|ATP1B3|SLCO4C1,7
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,LUKBXSAWLPMMSZ,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,DB02709,Resveratrol,full_inchikey,DPP4|NQO2|PIK3CA|PIK3CB|TRPA1,5,NQO2,1,6.891692790486287,6.300514997831991,5,,AHR|AKT1|ALOX15|ALOX5|APP|CBR1|CLEC14A|CSNK2A1|ESR1|ITGA5|ITGB3|KHSRP|MTNR1A|MTNR1B|NQO2|NR1I2|NR1I3|PI4K2B|PPARA|PPARG|PTGS1|PTGS2|SIRT1|SLC2A1|SNCA|YARS1,26
MJVAVZPDRWSRRC-UHFFFAOYSA-N,MJVAVZPDRWSRRC,MJVAVZPDRWSRRC-UHFFFAOYSA-N,DB00170,Menadione,full_inchikey,AOX1|CYP1A2|IDO1|MAOA|MAOB|TGM2|TST,7,AOX1,1,6.2972898287820795,6.156081118154956,7,B02BA02,AOX1|BGLAP|F2|F9|GGCX|NQO1|NQO2|PROC|PROS1|VKORC1|VKORC1L1,11
MKXZASYAUGDDCJ-NJAFHUGGSA-N,MKXZASYAUGDDCJ,MKXZASYAUGDDCJ-NJAFHUGGSA-N,DB00514,Dextromethorphan,full_inchikey,CYP2D6|GRIN2C|GRIN3A|SIGMAR1|SLC6A4,5,GRIN3A|SIGMAR1|SLC6A4,3,6.998003718572072,6.986643504128391,5,N06AX62|N07XX59|R05DA09,CHRNA2|CHRNA3|CHRNA4|CHRNA7|CHRNB2|CHRNB4|CYBB|CYP19A1|GRIN3A|OPRD1|OPRK1|OPRM1|PGRMC1|SIGMAR1|SLC6A2|SLC6A4,16
MLKXDPUZXIRXEP-MFOYZWKCSA-N,MLKXDPUZXIRXEP,MLKXDPUZXIRXEP-MFOYZWKCSA-N,DB00605,Sulindac,full_inchikey,AKR1B1|C5|GLRA1|PTGS1|PTGS2,5,AKR1B1|PTGS1|PTGS2,3,6.696157879726405,6.420108201691595,5,M01AB02,AKR1B1|AKR1B10|MAPK3|PPARD|PTGDR2|PTGS1|PTGS2,7
NAQMVNRVTILPCV-UHFFFAOYSA-N,NAQMVNRVTILPCV,NAQMVNRVTILPCV-UHFFFAOYSA-N,DB03260,Hexamethylene diamine,full_inchikey,CA12|CA14|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9,9,CA12|CA14|CA4|CA6|CA9,5,6.2812182044210685,6.238286003218532,9,,CA1|CA12|CA14|CA4|CA6|CA9,6
NHXLMOGPVYXJNR-ATOGVRKGSA-N,NHXLMOGPVYXJNR,NHXLMOGPVYXJNR-ATOGVRKGSA-N,DB09099,Somatostatin,full_inchikey,SSTR1|SSTR2|SSTR3|SSTR4|SSTR5,5,SSTR1|SSTR2|SSTR3|SSTR4|SSTR5,5,9.097724774447586,9.120778700565484,5,H01CB01,OPRD1|OPRM1|SSTR1|SSTR2|SSTR3|SSTR4|SSTR5,7
NKANXQFJJICGDU-QPLCGJKRSA-N,NKANXQFJJICGDU,NKANXQFJJICGDU-QPLCGJKRSA-N,DB00675,Tamoxifen,full_inchikey,CYP2B6|DHCR7|EBP|EBPL|ESR1|ESR2|ESRRG|HTR2C|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3|SIGMAR1|TBXAS1,21,EBP|ESR1|ESR2|ESRRG|PRKCA,5,6.5433640561576,6.0,21,L02BA01,AR|EBP|ESR1|ESR2|ESRRG|KCNH2|MAPK8|NR1I2|PRKCA|SHBG,10
NTYJJOPFIAHURM-UHFFFAOYSA-N,NTYJJOPFIAHURM,NTYJJOPFIAHURM-UHFFFAOYSA-N,DB05381,Histamine,full_inchikey,CA1|CA14|CA5A|HRH1|HRH3|HRH4|LMNA,7,HRH1|HRH3|HRH4,3,6.785520022302004,6.801029995663981,7,L03AX14|V04CG03,HRH1|HRH2|HRH3|HRH4|SLC18A2,5
NUKYPUAOHBNCPY-UHFFFAOYSA-N,NUKYPUAOHBNCPY,NUKYPUAOHBNCPY-UHFFFAOYSA-N,DB06637,Dalfampridine,full_inchikey,CYP2D6|KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2,40,KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCND1|KCND2|KCND3,16,8.24991656132293,8.39254497678533,40,N07XX07,KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCND1|KCND2|KCND3,16
OFBIFZUFASYYRE-UHFFFAOYSA-N,OFBIFZUFASYYRE,OFBIFZUFASYYRE-UHFFFAOYSA-N,DB01205,Flumazenil,full_inchikey,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,16,GABRA1|GABRA2|GABRA3|GABRA5|GABRG2|GABRG3,6,8.672889919992846,8.945626545352667,16,V03AB25,GABRA1|GABRA2|GABRA3|GABRA5|GABRG2|GABRG3|TSPO,7
OHCQJHSOBUTRHG-KGGHGJDLSA-N,OHCQJHSOBUTRHG,OHCQJHSOBUTRHG-KGGHGJDLSA-N,DB02587,Colforsin,full_inchikey,ADCY1|ADCY8|ADRB2|ATAD5|CREB1|DRD2|GLI3|NSD2|RXFP1|RXFP2|TSHR,11,ADCY1,1,6.9827883472486345,7.029130204556111,11,,ADCY1|ADCY2|ADCY5|CFTR|CREBBP|GNAS|KCNMA1|MAPK1|MUC2|SERPINE1,10
PFNFFQXMRSDOHW-UHFFFAOYSA-N,PFNFFQXMRSDOHW,PFNFFQXMRSDOHW-UHFFFAOYSA-N,DB00127,Spermine,full_inchikey,CA14|CA4|CA5A|CA5B|CA6|CA7,6,CA14|CA4|CA6,3,6.395914278411664,6.078090833875041,6,,ADRB1|ADRB2|CA14|CA4|CA6|CA9|CASR|GRIN1|GRIN2A|ODC1|SMOX|SMS,12
PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR,PMATZTZNYRCHOR-CGLBZJNRSA-N,DB00091,Cyclosporine,full_inchikey,FKBP1A|FKBP1B|FKBP4|FPR1|PPIA|PPIB|PPID|PPP3CA|PPP3CC|SLC10A1|SLCO1B1|SLCO1B3|TACR1,13,PPIA|PPP3CA,2,7.2306512618836924,7.568872229735401,13,L04AD01|S01XA18,CAMLG|PPIA|PPIF|PPP3CA|PPP3R2,5
PTOAARAWEBMLNO-KVQBGUIXSA-N,PTOAARAWEBMLNO,PTOAARAWEBMLNO-KVQBGUIXSA-N,DB00242,Cladribine,full_inchikey,GLI3|NR5A1|NSD2|PDE4D|RORA|SYK|TP53,7,,0,6.473908274210453,6.259734958986297,7,L01BB04|L04AA40,ADA|PARP1|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B,11
PWWVAXIEGOYWEE-UHFFFAOYSA-N,PWWVAXIEGOYWEE,PWWVAXIEGOYWEE-UHFFFAOYSA-N,DB01069,Promethazine,full_inchikey,ADRA1A|ADRA1D|ADRA2B|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|DRD3|HRH1|HRH2|HRH4|HTR2A|HTR2B|HTR2C|SIGMAR1,17,ADRA1A|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HRH2,9,7.229671593445711,6.938777214213327,17,D04AA10|R06AD02|R06AD52|V03AB05,ADRA1A|CALM1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HRH2|KCND1|LPAR4|SCN1A,13
PXGPLTODNUVGFL-YNNPMVKQSA-N,PXGPLTODNUVGFL,PXGPLTODNUVGFL-YNNPMVKQSA-N,DB12789,Dinoprost,full_inchikey,PTGDR2|PTGER1|PTGER3|PTGFR|SLC22A1|SLC22A11|SLC22A2|SLC22A6|SLC22A7|SLCO2A1|TBXA2R,11,PTGDR2|PTGER1|PTGER3|PTGFR|TBXA2R,5,6.7968146483082315,6.43327374536289,11,G02AD01,PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R,8
QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD,QDLHCMPXEPAAMD-QAIWCSMKSA-N,DB08059,Wortmannin,full_inchikey,HSP90AA1|MTOR|PI4KA|PI4KB|PIK3C3|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R5|PLK1|PLK3|PRKDC,14,PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1,5,7.171435595970593,6.982799413728303,14,,PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1,5
QHMBSVQNZZTUGM-ZWKOTPCHSA-N,QHMBSVQNZZTUGM,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,DB09061,Cannabidiol,full_inchikey,CASP1|CNR2|CYP1A1|CYP2B6|CYP3A5|GPR18|GPR55|NR1I2|TRPM8|TRPV2,10,CNR2|GPR18|GPR55|TRPM8|TRPV2,5,,6.888117972073898,10,N03AX24,AANAT|ACAT1|ADORA1|CACNA1G|CACNA1H|CACNA1I|CAT|CHRNA7|CNR1|CNR2|CYP17A1|GLRA1|GLRA3|GPR12|GPR18|GPR55|GPX1|GSR|HMGCR|HTR1A|HTR2A|HTR3A|IDO1|NAAA|NQO1|OPRD1|OPRM1|PPARG|PTGS1|PTGS2|SOD1|TRPA1|TRPM8|TRPV1|TRPV2|TRPV3|TRPV4|VDAC1,38
QZAYGJVTTNCVMB-UHFFFAOYSA-N,QZAYGJVTTNCVMB,QZAYGJVTTNCVMB-UHFFFAOYSA-N,DB08839,Serotonin,full_inchikey,ADORA3|CA12|CA3|CA5B|CA7|DRD2|DRD3|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR3C|HTR3D|HTR3E|HTR4|HTR5A|HTR6|HTR7,24,ADORA3|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7,13,,7.030490111775666,24,,ADORA3|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7|SLC18A2|SLC6A4,15
REFJWTPEDVJJIY-UHFFFAOYSA-N,REFJWTPEDVJJIY,REFJWTPEDVJJIY-UHFFFAOYSA-N,DB04216,Quercetin,full_inchikey,ABCG2|AKR1B1|AURKB|AXL|CSNK2A3|CYP1B1|DPP3|FLT3|HDAC6|IGF1R|IP6K2|KDR|MAPK10|MAPK14|MET|MMP9|NOX4|PIM1|POLB|POLK,20,CYP1B1|PIM1,2,6.480613449806391,6.2569711110699595,20,,ACTB|AHR|ATP5F1A|ATP5F1B|ATP5F1C|CBR1|CEBPB|CSNK2A1|CSNK2B|CYP1B1|EIF3F|ESR1|ESR2|HCK|HIBCH|HSP90AA1|HSPA2|LPCAT1|LPCAT2|NQO2|NR1I2|PIK3CG|PIM1|RUVBL2|SF3B3|SHBG|STAT3|STK17B|UBA1|UGT3A1,30
RGLYKWWBQGJZGM-ISLYRVAYSA-N,RGLYKWWBQGJZGM,RGLYKWWBQGJZGM-ISLYRVAYSA-N,DB00255,Diethylstilbestrol,full_inchikey,ABCG2|AOX1|CA1|CA2|ESR1|ESR2|ESRRB|ESRRG,8,ESR1|ESR2|ESRRB|ESRRG,4,7.509426762241444,8.036845243453007,8,G03CB02|G03CC05|L02AA01|L02AA04,AR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA2|NR1I2|SHBG,9
RJKFOVLPORLFTN-LEKSSAKUSA-N,RJKFOVLPORLFTN,RJKFOVLPORLFTN-LEKSSAKUSA-N,DB00396,Progesterone,full_inchikey,AR|CATSPER1|CATSPER2|CATSPER3|CATSPER4|NR3C1|NR3C2|PGR|SERPINA6|SHBG|SIGMAR1|TP53|TRPC5,13,AR|NR3C1|NR3C2|PGR|SHBG,5,7.461484815283645,8.090979145788843,13,G03DA04|G03FA04,AR|CYP17A1|ESR1|ESR2|NR3C1|NR3C2|OPRK1|ORM1|PGR|SHBG,10
RMUCZJUITONUFY-UHFFFAOYSA-N,RMUCZJUITONUFY,RMUCZJUITONUFY-UHFFFAOYSA-N,DB00780,Phenelzine,full_inchikey,AOC3|CYP2C19|MAOA|MAOB|PTGS1,5,AOC3|MAOA|MAOB,3,6.876497767252376,7.033710981866364,5,N06AF03,ABAT|AOC3|GAD65|GPT|GPT2|MAOA|MAOB,7
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,RTHCYVBBDHJXIQ,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,DB00472,Fluoxetine,full_inchikey,ACHE|ADRA2A|CYP2C19|CYP2D6|HTR2A|HTR2C|SIGMAR1|SLC29A4|SLC6A4,9,HTR2C|SLC6A4,2,6.898214607409353,6.727503040332758,9,N06AB03|N06CA03,CHRNA2|CHRNA3|CHRNB4|CKS1B|HTR2C|KCNH2|SLC6A4,7
RTKIYFITIVXBLE-QEQCGCAPSA-N,RTKIYFITIVXBLE,RTKIYFITIVXBLE-QEQCGCAPSA-N,DB04297,Trichostatin A,full_inchikey,F3|HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|NCOR1|NCOR2|NSD2|SF3B3|SYK|VDR,18,HDAC7|HDAC8,2,,7.265840213536695,18,,CASP8|HDAC7|HDAC8|PTGER1|TNF,5
RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,RZEKVGVHFLEQIL-UHFFFAOYSA-N,DB00482,Celecoxib,full_inchikey,ALOX15|CA12|CA13|CA14|CA2|CA4|CA5A|CA5B|CA6|CA9|EPHX2|MAPK14|MT-CO2|PTGES|PTGS2,15,CA2|PTGS2,2,6.698489069255174,6.721029939974475,15,C08CA51|G01AE10|L01XX33|M01AH01|N02AJ16,CA2|CA3|CDH11|NEU1|PDPK1|PTGS2|STAT3,7
SBDNJUWAMKYJOX-UHFFFAOYSA-N,SBDNJUWAMKYJOX,SBDNJUWAMKYJOX-UHFFFAOYSA-N,DB00939,Meclofenamic acid,full_inchikey,AKR1C3|ALOX5|NR4A2|PTGS1|PTGS2|RXRA,6,ALOX5|PTGS1|PTGS2,3,6.865083899592439,6.717627939950071,6,M01AG04|M02AA18,ALOX5|KCNQ2|KCNQ3|PTGS1|PTGS2,5
SFLSHLFXELFNJZ-QMMMGPOBSA-N,SFLSHLFXELFNJZ,SFLSHLFXELFNJZ-QMMMGPOBSA-N,DB00368,Norepinephrine,full_inchikey,ADRA1A|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB3|DRD2,8,ADRA1A|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB3,7,,6.9427584347044355,8,C01CA03,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|SLC18A1|SLC18A2,12
SGTNSNPWRIOYBX-UHFFFAOYSA-N,SGTNSNPWRIOYBX,SGTNSNPWRIOYBX-UHFFFAOYSA-N,DB00661,Verapamil,full_inchikey,ABCB1|ADRA1B|ADRA1D|ADRA2A|ADRA2B|CACNA1D|CACNA1F|CACNA1H|CACNA1S|DRD3|HTR2A|HTR2B|HTR2C|KCNA10|KCNH2|SLC29A4|SLC6A4|TPCN1|TPCN2,19,ABCB1|ADRA1B|ADRA1D|CACNA1H|KCNH2|SLC6A4,6,6.918145025531164,6.698970004336019,19,C08DA01|C08DA51|C09BB10,ABCB1|ADRA1A|ADRA1B|ADRA1D|CACNA1A|CACNA1B|CACNA1C|CACNA1G|CACNA1H|CACNG1|KCNH2|KCNJ11|SLC6A4,13
SHGAZHPCJJPHSC-YCNIQYBTSA-N,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-YCNIQYBTSA-N,DB00755,Tretinoin,full_inchikey,APP|ESR1|HIF1A|HTR2B|MAPK1|NR2C2|NR2E1|PIN1|PPARD|PPARG|RARA|RARB|RARG|RORA|RORB|RXRA|RXRB|RXRG|SYK,19,RARA|RARB|RARG|RXRA|RXRB|RXRG,6,7.0419006332912275,6.8248355315406055,19,D10AD01|D10AD51|L01XF01,ALDH1A1|ALDH1A2|CRABP1|GPRC5A|LCN1|OBP2A|PDK4|RARA|RARB|RARG|RARRES1|RBP4|RXRA|RXRB|RXRG,15
SHGAZHPCJJPHSC-ZVCIMWCZSA-N,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,DB00523,Alitretinoin,full_inchikey,ESR1|NR4A1|RARA|RARB|RARG|RXRA|RXRB|RXRG,8,RARA|RARB|RARG|RXRA|RXRB|RXRG,6,7.40654314618185,7.607797151906222,8,D11AH04|L01XF02,CYP26C1|IGFBP3|PSG5|RARA|RARB|RARG|RXRA|RXRB|RXRG,9
SNICXCGAKADSCV-JTQLQIEISA-N,SNICXCGAKADSCV,SNICXCGAKADSCV-JTQLQIEISA-N,DB00184,Nicotine,full_inchikey,CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNB2|CHRNB3|CHRNB4,7,CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNB2|CHRNB3|CHRNB4,7,6.867623213094076,6.983900213393664,7,N07BA01,CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1,13
STJMRWALKKWQGH-UHFFFAOYSA-N,STJMRWALKKWQGH,STJMRWALKKWQGH-UHFFFAOYSA-N,DB01407,Clenbuterol,full_inchikey,ADRB1|ADRB2|CREB1|DRD2|TSHR,5,ADRB1|ADRB2,2,8.005193111582784,8.451423216732442,5,R03AC14|R03CC13|R03CC63,ADRB1|ADRB2|ADRB3|NGF|TNF,5
TZBJGXHYKVUXJN-UHFFFAOYSA-N,TZBJGXHYKVUXJN,TZBJGXHYKVUXJN-UHFFFAOYSA-N,DB01645,Genistein,full_inchikey,ABL1|AOX1|CSK|DPP3|DPP4|ESR1|ESR2|ESRRB|HSD17B3|MAP2K4|MAPK14|PRKACA|PRKCA,13,ESR1|ESR2|ESRRB,3,7.323716740287872,7.079850359540576,13,,AKT1|CFTR|CYP1B1|ESR1|ESR2|ESRRA|ESRRB|GPER1|NCOA1|NCOA2|NR1I2|PTK2B|SHBG|TOP2A,14
