compound_inchikey,compound_firstblock,drugbank_inchikey,drugbank_id,compound_name,match_type,cpie_targets,n_cpie_targets,drugbank_targets,n_drugbank_targets,mean_ave_pchembl,median_ave_pchembl,n_cpie_associations,atc_codes,drugbank_targets_original,n_drugbank_targets_original
ADEBPBSSDYVVLD-UHFFFAOYSA-N,ADEBPBSSDYVVLD,ADEBPBSSDYVVLD-UHFFFAOYSA-N,DB00843,Donepezil,full_inchikey,ABCB1|ABCB11|ABCC3|ABCC4|ACHE|ADRA1A|ADRA2C|BACE1|BCHE|CACNA1C|CES1|CHRM1|CHRM2|CHRNE|CYP3A4|DRD4|GSK3B|HRH3|HTR2B|KCNH2|MAOA|MAOB|PDE4D|PDE5A|SIGMAR1|SLC6A2|SLC6A3|SLC6A4,28,ACHE|BCHE,2,5.104139868807983,5.047835027939603,28,N06DA02|N06DA52|N06DA53,ACHE|BCHE|GRIN1|HTR2A|IL1B|NFKB2|NOS1|TNFAIP6,8
AFSDNFLWKVMVRB-UHFFFAOYSA-N,AFSDNFLWKVMVRB,AFSDNFLWKVMVRB-UHFFFAOYSA-N,DB08846,Ellagic acid,full_inchikey,ACHE|AKR1B1|AKT1|ALK|APOBEC3G|APP|ATG4B|AURKA|AURKB|BACE1|BAZ2B|BLM|BRAF|CA1|CA12|CA13|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CARM1|CBFB|CCNA1|CCND1|CDK2|CDK4|CSNK2A1|CSNK2A2|CSNK2B|CYP2C19|DUSP3|DYRK1A|EGFR|EIF4G1|ELAVL3|EPHB4|EPHX2|ERBB2|FEN1|FLT3|FLT4|GALNT2|GLS|GPR35|GSK3B|GSR|GSTP1|HBB|HPGD|HSPA1A|HSPA8|IGF1R|IKBKB|INSR|KDR|MAOA|MAP3K8|MAPK1|MAPT|MCL1|MET|MIF|NT5E|NTMT1|NUAK1|PDGFRB|PLK1|PLK4|POLB|POLH|POLI|POLK|PRKACA|PRKACB|PRKACG|PTK2|PTPN1|RAPGEF3|RAPGEF4|RET|RUNX1|SLC22A6|SMAD3|SPHK1|SRC|TEK|TOP2B|TSNAX|USP2|VDR,95,CA1|CA12|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CSNK2A1|GSK3B|HSPA1A|PRKACA,15,5.585408953436981,5.549997369826814,95,,CA1|CA12|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|CSNK2A1|GSK3B|HSPA1A|HSPA1B|PRKACA|PRKCA|PRKCB|SQLE|SYK,20
AHOUBRCZNHFOSL-YOEHRIQHSA-N,AHOUBRCZNHFOSL,AHOUBRCZNHFOSL-YOEHRIQHSA-N,DB00715,Paroxetine,full_inchikey,ABCB1|ABCC3|ABCC4|ADRA1A|ADRA2A|ADRA2C|ADRB2|AR|ATXN2|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CNR1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A7|DRD2|ESR2|GLI3|GRK1|GRK2|GRK5|HRH1|HRH2|HTR1A|HTR2A|HTR2B|HTR2C|HTR5A|KCNA3|KCNH2|MPO|MTOR|P2RX4|PRKCA|SIGMAR1|SLC6A2|SLC6A3|SLC6A4|TACR1,49,ADRA1A|ADRA2A|CHRM1|DRD2|HRH1|HTR1A|HTR2A|HTR2B|SLC6A2|SLC6A4,10,5.374845573338391,5.200065631553182,49,N06AB05,ADRA1A|ADRA2A|ADRB1|CHRM1|DRD1|DRD2|HRH1|HTR1A|HTR2A|HTR2B|SLC6A2|SLC6A4,12
AIONOLUJZLIMTK-AWEZNQCLSA-N,AIONOLUJZLIMTK,AIONOLUJZLIMTK-AWEZNQCLSA-N,DB01094,Hesperetin,full_inchikey,CA1|CA12|CA2|CA4|CA7|CYP1A1|CYP1A2|CYP1B1|CYP2C19|CYP2C9|DPP4|GSK3B|HDAC6|HIF1A|KDM1A|MAPK14|PTGS2|XDH,18,,0,5.813936292051007,5.426253523406887,18,,DGAT1|MTTP|SHBG|SOAT1|SOAT2,5
AOJJSUZBOXZQNB-TZSSRYMLSA-N,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N,DB00997,Doxorubicin,full_inchikey,ABCB1|ABCC1|ABCC3|ABCC4|ABCG2|APAF1|AURKA|BCL2|BCL2L1|CASP1|CASP9|CHRM1|CISD1|DHCR7|EBP|EPAS1|ERBB2|ESR1|FYN|HIF1A|HLA-B|HSP90AA1|IFNB1|KCNH2|LCK|MMP2|NR3C1|NR5A1|NSD2|P2RY12|PGR|POLK|RAD51|RORA|SLCO1B1|SLCO1B3|SLCO2B1|SOS1|TERT|TOP1|TOP2A|TOP2B|YWHAG,43,TERT|TOP1|TOP2A|TOP2B,4,5.298218417500535,5.28844583174983,43,L01DB01,NOLC1|TERT|TOP1|TOP2A|TOP2B,5
APIXJSLKIYYUKG-UHFFFAOYSA-N,APIXJSLKIYYUKG,APIXJSLKIYYUKG-UHFFFAOYSA-N,DB07954,3-isobutyl-1-methyl-7H-xanthine,full_inchikey,ADORA1|ADORA2A|CACNA1C|CFTR|CYP3A4|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4B|PDE4D|PDE5A|PDE6C|PDE7A|PDE7B|PDE8A|PDE9A|SCN1A|SCN2A|SCN3A|SLC16A3,23,ADORA1|ADORA2A|PDE2A|PDE3A|PDE3B|PDE4B|PDE4D|PDE5A|PDE7A|PDE8A|PDE9A,11,4.870417826421883,5.070581074285707,23,,ADORA1|ADORA2A|ADORA2B|ADORA3|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4D|PDE5A|PDE6G|PDE7A|PDE8A|PDE9A,15
AQHHHDLHHXJYJD-UHFFFAOYSA-N,AQHHHDLHHXJYJD,AQHHHDLHHXJYJD-UHFFFAOYSA-N,DB00571,Propranolol,full_inchikey,ABCB1|ABCB11|ABCC3|ABCC4|ADORA2A|ADORA3|ADRA1A|ADRA2A|ADRA2C|ADRB1|ADRB2|ADRB3|AGTR1|ALB|AVPR1A|CACNA1C|CCKAR|CHRM1|CHRM2|CHRM3|CYP1A2|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2J2|CYP3A4|DRD1|DRD2|DRD3|EDNRA|HRH1|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|NR2E1|OPRD1|OPRK1|OPRM1|SCN5A|SIGMAR1|SLC10A1|SLC22A1|SLC6A4,49,ADRB1|ADRB2|ADRB3|HTR1A|HTR1B,5,5.318964492397974,5.299994570061653,49,C07AA05|C07BA05|C07FX01,ADRB1|ADRB2|ADRB3|HTR1A|HTR1B,5
AURFZBICLPNKBZ-SYBPFIFISA-N,AURFZBICLPNKBZ,AURFZBICLPNKBZ-SYBPFIFISA-N,DB11859,Brexanolone,full_inchikey,G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,17,GABRA1|GABRB2|GABRD|GABRG2|GABRG3,5,7.113486581083964,7.134960673846167,17,N06AX29,GABRA1|GABRB2|GABRD|GABRG2|GABRG3,5
BCGWQEUPMDMJNV-UHFFFAOYSA-N,BCGWQEUPMDMJNV,BCGWQEUPMDMJNV-UHFFFAOYSA-N,DB00458,Imipramine,full_inchikey,ABCC3|ABCC4|ADORA3|ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB2|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CNR1|CYP1A2|CYP2C19|CYP2D6|CYP2J2|CYP3A4|CYP3A7|DRD1|DRD2|DRD3|DRD4|DRD5|GLI3|HRH1|HRH2|HTR1A|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7|JUN|KCNH1|KCNH2|NPR2|PRNP|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SLC22A1|SLC22A2|SLC22A3|SLC47A1|SLC47A2|SLC6A2|SLC6A3|SLC6A4|SMPD1,63,ADRA1A|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4,19,5.732496683631283,5.443697499232712,63,N06AA02,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|ORM2|SLC6A2|SLC6A3|SLC6A4,24
BNRNXUUZRGQAQC-UHFFFAOYSA-N,BNRNXUUZRGQAQC,BNRNXUUZRGQAQC-UHFFFAOYSA-N,DB00203,Sildenafil,full_inchikey,ABCB11|ABCC2|ABCC3|ABCC4|ABCC5|ADORA1|ADORA2A|ADRA1A|CACNA1C|CYP2C9|CYP3A4|CYP3A7|KCND3|KCNE1|KCNH2|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE9A|SCN5A|SLCO1B3|SYK,40,PDE5A|PDE6G|PDE6H,3,5.481325835291568,5.205978887243767,40,G01AE10|G04BE03,CD274|ODC1|PDE5A|PDE6G|PDE6H|SERPING1,6
